,Name,MatchScore
0,S01_287.pgm,0.359
0,S01_288.pgm,0.575
0,S01_289.pgm,0.727
0,S01_290.pgm,0.391
0,S01_291.pgm,0.421
0,S01_292.pgm,0.394
0,S01_293.pgm,0.472
0,S01_294.pgm,0.73
0,S01_295.pgm,0.65
0,S01_296.pgm,0.591
0,S01_297.pgm,0.948
0,S01_298.pgm,0.88
0,S01_299.pgm,100
0,S01_300.pgm,100
0,S01_301.pgm,100
0,S01_302.pgm,100
0,S01_303.pgm,100
0,S01_304.pgm,100
0,S01_305.pgm,0.766
0,S01_306.pgm,0.463
0,S01_307.pgm,100
0,S01_308.pgm,0.433
0,S01_309.pgm,0.284
0,S01_310.pgm,0.56
0,S01_311.pgm,0.941
0,S01_312.pgm,1.387
0,S01_313.pgm,1.814
0,S01_314.pgm,1.354
0,S01_315.pgm,1.392
0,S01_316.pgm,2.14
0,S01_317.pgm,2.254
0,S01_318.pgm,100
0,S01_319.pgm,0.811
0,S01_320.pgm,0.98
0,S01_321.pgm,100
0,S01_322.pgm,100
0,S01_323.pgm,100
0,S01_324.pgm,100
0,S01_325.pgm,100
0,S01_326.pgm,100
0,S01_327.pgm,100
0,S01_328.pgm,100
0,S01_329.pgm,100
0,S01_330.pgm,100
0,S01_331.pgm,100
0,S01_332.pgm,100
0,S01_333.pgm,100
0,S01_334.pgm,100
0,S01_335.pgm,0.92
0,S01_336.pgm,0.482
0,S01_337.pgm,0.309
0,S01_338.pgm,0.274
0,S01_339.pgm,0.188
0,S01_340.pgm,0.283
0,S01_341.pgm,100
0,S01_342.pgm,0.228
0,S01_343.pgm,0.198
0,S01_344.pgm,0.365
0,S01_345.pgm,100
0,S01_346.pgm,0.148
0,S01_347.pgm,0.141
0,S01_348.pgm,100
0,S01_349.pgm,0.228
0,S01_350.pgm,0.198
0,S01_351.pgm,100
0,S01_352.pgm,100
0,S01_353.pgm,100
0,S01_354.pgm,0.262
0,S01_355.pgm,0.232
0,S01_356.pgm,0.373
0,S01_357.pgm,100
0,S01_358.pgm,100
0,S01_359.pgm,100
0,S01_360.pgm,100
0,S01_361.pgm,100
0,S01_362.pgm,0.289
0,S01_363.pgm,0.383
0,S01_364.pgm,0.482
0,S01_365.pgm,0.389
0,S01_366.pgm,0.523
0,S01_367.pgm,0.455
0,S01_368.pgm,0.614
0,S01_369.pgm,0.487
0,S01_370.pgm,0.54
0,S01_371.pgm,0.489
0,S01_372.pgm,0.483
0,S01_373.pgm,0.566
0,S01_374.pgm,0.751
0,S01_375.pgm,0.993
0,S01_376.pgm,0.769
0,S01_377.pgm,0.566
0,S01_378.pgm,0.758
0,S01_379.pgm,0.911
0,S01_380.pgm,1.207
0,S01_381.pgm,0.858
0,S01_382.pgm,1.504
0,S01_383.pgm,0.719
0,S01_384.pgm,1.055
0,S01_385.pgm,0.735
0,S01_386.pgm,0.83
0,S01_387.pgm,0.549
0,S01_388.pgm,0.645
0,S01_389.pgm,0.68
0,S01_390.pgm,0.91
0,S01_391.pgm,0.493
0,S01_392.pgm,0.473
0,S01_393.pgm,0.791
0,S01_394.pgm,0.678
0,S01_395.pgm,0.274
0,S01_396.pgm,0.139
0,S01_397.pgm,0.128
0,S01_398.pgm,0.123
0,S01_399.pgm,0.087
0,S01_400.pgm,0.111
0,S01_401.pgm,0.075
0,S01_402.pgm,0.096
0,S01_403.pgm,0.071
0,S01_404.pgm,0.094
0,S01_405.pgm,0.104
0,S01_406.pgm,0.072
0,S01_407.pgm,0.085
0,S01_408.pgm,0.085
0,S01_409.pgm,0.1
0,S01_410.pgm,0.1
0,S01_411.pgm,0.094
0,S01_412.pgm,0.117
0,S01_413.pgm,0.107
0,S01_414.pgm,0.096
0,S01_415.pgm,0.135
0,S01_416.pgm,0.102
0,S01_417.pgm,0.108
0,S01_418.pgm,0.1
0,S01_419.pgm,0.109
0,S01_420.pgm,0.145
0,S01_421.pgm,0.15
0,S01_422.pgm,0.154
0,S01_423.pgm,0.422
0,S01_424.pgm,0.256
0,S01_425.pgm,0.299
0,S01_426.pgm,0.289
0,S01_427.pgm,0.354
0,S01_428.pgm,0.324
0,S01_429.pgm,0.147
0,S01_430.pgm,0.112
0,S01_431.pgm,0.581
0,S01_432.pgm,0.201
0,S01_433.pgm,0.086
0,S01_434.pgm,0.187
0,S01_435.pgm,0.125
0,S01_436.pgm,0.122
0,S01_437.pgm,0.12
0,S01_438.pgm,0.127
0,S01_439.pgm,0.097
0,S01_440.pgm,0.195
0,S01_441.pgm,0.187
0,S01_442.pgm,0.169
0,S01_443.pgm,0.158
0,S01_444.pgm,0.151
0,S01_445.pgm,0.125
0,S01_446.pgm,0.146
0,S01_447.pgm,0.245
0,S01_448.pgm,0.24
0,S01_449.pgm,0.217
0,S01_450.pgm,0.217
0,S01_451.pgm,0.177
0,S01_452.pgm,0.247
0,S01_453.pgm,0.274
0,S01_454.pgm,0.317
0,S01_455.pgm,0.527
0,S01_456.pgm,100
0,S01_457.pgm,100
0,S01_458.pgm,100
0,S01_459.pgm,0.187
0,S01_460.pgm,0.221
0,S01_461.pgm,0.183
0,S01_462.pgm,0.155
0,S01_463.pgm,0.206
0,S01_464.pgm,0.248
0,S01_465.pgm,0.201
0,S01_466.pgm,0.252
0,S01_467.pgm,100
0,S01_468.pgm,100
0,S01_469.pgm,0.362
0,S01_470.pgm,100
0,S01_471.pgm,100
0,S01_472.pgm,100
0,S01_473.pgm,0.769
0,S01_474.pgm,0.561
0,S01_475.pgm,0.847
0,S01_476.pgm,1.079
0,S01_477.pgm,0.648
0,S01_478.pgm,0.503
0,S01_479.pgm,0.963
0,S01_480.pgm,0.485
0,S01_481.pgm,0.787
0,S01_482.pgm,1.232
0,S01_483.pgm,0.553
0,S01_484.pgm,0.496
0,S01_485.pgm,0.607
0,S01_486.pgm,0.302
0,S01_487.pgm,0.165
0,S01_488.pgm,0.135
0,S01_489.pgm,0.1
0,S01_490.pgm,0.356
0,S01_491.pgm,0.183
0,S01_492.pgm,0.129
0,S01_493.pgm,0.096
0,S01_494.pgm,0.064
0,S01_495.pgm,0.11
0,S01_496.pgm,0.074
0,S01_497.pgm,0.067
0,S01_498.pgm,0.11
0,S01_499.pgm,0.113
0,S01_500.pgm,0.125
0,S01_501.pgm,0.237
0,S01_502.pgm,0.307
0,S01_503.pgm,0.347
0,S01_504.pgm,0.222
0,S01_505.pgm,0.16
0,S01_506.pgm,0.195
0,S01_507.pgm,0.202
0,S01_508.pgm,0.25
0,S01_509.pgm,0.191
0,S01_510.pgm,0.193
0,S01_511.pgm,0.258
0,S01_512.pgm,0.258
0,S01_513.pgm,0.207
0,S01_514.pgm,0.365
0,S01_515.pgm,100
0,S01_516.pgm,100
0,S01_517.pgm,100
0,S01_518.pgm,100
0,S01_519.pgm,100
0,S01_520.pgm,0.42
0,S01_521.pgm,0.713
0,S01_522.pgm,0.741
0,S01_523.pgm,0.862
0,S01_524.pgm,0.829
0,S01_525.pgm,0.972
0,S01_526.pgm,0.926
0,S01_527.pgm,0.55
0,S01_528.pgm,0.61
0,S01_529.pgm,0.43
0,S01_530.pgm,1.131
0,S01_531.pgm,1.149
0,S01_532.pgm,0.557
0,S01_533.pgm,0.861
0,S01_534.pgm,0.628
0,S01_535.pgm,0.888
0,S01_536.pgm,0.731
0,S01_537.pgm,0.415
0,S01_538.pgm,0.646
0,S01_539.pgm,0.538
0,S01_540.pgm,0.768
0,S01_541.pgm,0.359
0,S01_542.pgm,0.153
0,S01_543.pgm,0.165
0,S01_544.pgm,0.171
0,S01_545.pgm,0.209
0,S01_546.pgm,0.228
0,S01_547.pgm,0.317
0,S01_548.pgm,0.414
0,S01_549.pgm,0.35
0,S01_550.pgm,0.189
0,S01_551.pgm,0.159
0,S01_552.pgm,0.406
0,S01_553.pgm,0.276
0,S01_554.pgm,0.329
0,S01_555.pgm,0.858
0,S01_556.pgm,0.332
0,S01_557.pgm,0.676
0,S01_558.pgm,0.22
0,S01_559.pgm,0.67
0,S01_560.pgm,0.698
0,S01_561.pgm,0.38
0,S01_562.pgm,0.465
0,S01_563.pgm,0.234
0,S01_564.pgm,0.316
0,S01_565.pgm,0.465
0,S01_566.pgm,0.19
0,S01_567.pgm,0.331
0,S01_568.pgm,0.152
0,S01_569.pgm,0.162
0,S01_570.pgm,0.143
0,S01_571.pgm,0.187
0,S01_572.pgm,0.317
0,S01_573.pgm,1.048
0,S01_574.pgm,100
0,S01_575.pgm,100
0,S01_576.pgm,0.354
0,S01_577.pgm,0.269
0,S01_578.pgm,0.18
0,S01_579.pgm,0.192
0,S01_580.pgm,0.113
0,S01_581.pgm,0.172
0,S01_582.pgm,0.212
0,S01_583.pgm,0.256
0,S01_584.pgm,0.242
0,S01_585.pgm,0.25
0,S01_586.pgm,0.316
0,S01_587.pgm,0.429
0,S01_588.pgm,0.38
0,S01_589.pgm,0.227
0,S01_590.pgm,0.229
0,S01_591.pgm,0.28
0,S01_592.pgm,0.159
0,S01_593.pgm,0.225
0,S01_594.pgm,0.246
0,S01_595.pgm,0.222
0,S01_596.pgm,0.306
0,S01_597.pgm,0.325
0,S01_598.pgm,0.435
0,S01_599.pgm,0.35
0,S01_600.pgm,0.395
0,S01_601.pgm,0.344
0,S01_602.pgm,0.326
0,S01_603.pgm,0.475
0,S01_604.pgm,0.371
0,S01_605.pgm,0.503
0,S01_606.pgm,0.268
0,S01_607.pgm,0.541
0,S01_608.pgm,0.565
0,S01_609.pgm,0.439
0,S01_610.pgm,0.402
0,S01_611.pgm,0.452
0,S01_612.pgm,0.453
0,S01_613.pgm,0.347
0,S01_614.pgm,0.258
0,S01_615.pgm,0.206
0,S01_616.pgm,0.182
0,S01_617.pgm,0.192
0,S01_618.pgm,0.241
0,S01_619.pgm,0.205
0,S01_620.pgm,0.16
0,S01_621.pgm,0.21
0,S01_622.pgm,0.284
0,S01_623.pgm,0.288
0,S01_624.pgm,0.525
0,S01_625.pgm,0.244
0,S01_626.pgm,0.238
0,S01_627.pgm,0.207
0,S01_628.pgm,0.163
0,S01_629.pgm,0.182
0,S01_630.pgm,0.145
0,S01_631.pgm,0.176
0,S01_632.pgm,0.168
0,S01_633.pgm,0.135
0,S01_634.pgm,0.115
0,S01_635.pgm,0.211
0,S01_636.pgm,0.252
0,S01_637.pgm,0.258
0,S01_638.pgm,0.234
0,S01_639.pgm,0.404
0,S01_640.pgm,0.443
0,S01_641.pgm,0.513
0,S01_642.pgm,0.41
0,S01_643.pgm,0.635
0,S01_644.pgm,0.351
0,S01_645.pgm,0.238
0,S01_646.pgm,0.186
0,S01_647.pgm,0.695
0,S01_648.pgm,0.66
0,S01_649.pgm,0.952
0,S01_650.pgm,0.45
0,S01_651.pgm,0.386
0,S01_652.pgm,0.209
0,S01_653.pgm,0.204
0,S01_654.pgm,0.195
0,S01_655.pgm,0.157
0,S01_656.pgm,0.218
0,S01_657.pgm,0.155
0,S01_658.pgm,0.116
0,S01_659.pgm,0.175
0,S01_660.pgm,0.105
0,S01_661.pgm,0.131
0,S01_662.pgm,0.152
0,S01_663.pgm,0.124
0,S01_664.pgm,0.126
0,S01_665.pgm,0.159
0,S01_666.pgm,0.124
0,S01_667.pgm,0.194
0,S01_668.pgm,0.229
0,S01_669.pgm,0.128
0,S01_670.pgm,0.294
0,S01_671.pgm,0.292
0,S01_672.pgm,0.217
0,S01_673.pgm,0.219
0,S01_674.pgm,0.309
0,S01_675.pgm,0.438
0,S01_676.pgm,0.185
0,S01_677.pgm,0.172
0,S01_678.pgm,0.185
0,S01_679.pgm,0.332
0,S01_680.pgm,0.316
0,S01_681.pgm,0.184
0,S01_682.pgm,0.212
0,S01_683.pgm,0.237
0,S01_684.pgm,0.282
0,S01_685.pgm,0.152
0,S01_686.pgm,0.236
0,S01_687.pgm,0.234
0,S01_688.pgm,0.214
0,S01_689.pgm,0.398
0,S01_690.pgm,0.47
0,S01_691.pgm,0.133
0,S01_692.pgm,0.189
0,S01_693.pgm,0.183
0,S01_694.pgm,0.112
0,S01_695.pgm,0.231
0,S01_696.pgm,0.204
0,S01_697.pgm,0.248
0,S01_698.pgm,0.219
0,S01_699.pgm,0.247
0,S01_700.pgm,0.477
0,S01_701.pgm,100
0,S01_702.pgm,100
0,S01_703.pgm,100
0,S01_704.pgm,100
0,S01_705.pgm,100
0,S01_706.pgm,100
0,S01_707.pgm,100
0,S01_708.pgm,0.326
0,S01_709.pgm,0.329
0,S01_710.pgm,0.235
0,S01_711.pgm,0.374
0,S01_712.pgm,100
0,S01_713.pgm,0.489
0,S01_714.pgm,0.332
0,S01_715.pgm,100
0,S01_716.pgm,100
0,S01_717.pgm,100
0,S01_718.pgm,100
0,S01_719.pgm,0.358
0,S01_720.pgm,0.309
0,S01_721.pgm,0.182
0,S01_722.pgm,0.168
0,S01_723.pgm,100
0,S01_724.pgm,100
0,S01_725.pgm,0.173
0,S01_726.pgm,0.164
0,S01_727.pgm,100
0,S01_728.pgm,100
0,S01_729.pgm,1.344
0,S01_730.pgm,0.19
0,S01_731.pgm,0.185
0,S01_732.pgm,0.167
0,S01_733.pgm,0.198
0,S01_734.pgm,0.1
0,S01_735.pgm,0.152
0,S01_736.pgm,0.109
0,S01_737.pgm,0.119
0,S01_738.pgm,0.145
0,S01_739.pgm,0.152
0,S01_740.pgm,0.172
0,S01_741.pgm,0.395
0,S01_742.pgm,0.406
0,S01_743.pgm,100
0,S01_744.pgm,0.542
0,S01_745.pgm,100
0,S01_746.pgm,100
0,S01_747.pgm,100
0,S01_748.pgm,0.888
0,S01_749.pgm,0.802
0,S01_750.pgm,0.929
0,S01_751.pgm,0.616
0,S01_752.pgm,0.304
0,S01_753.pgm,0.437
0,S01_754.pgm,0.324
0,S01_755.pgm,0.718
0,S01_756.pgm,0.246
0,S01_757.pgm,0.362
0,S01_758.pgm,0.44
0,S01_759.pgm,0.372
0,S01_760.pgm,0.41
0,S01_761.pgm,0.494
0,S01_762.pgm,0.292
0,S01_763.pgm,0.142
0,S01_764.pgm,0.588
0,S01_765.pgm,0.26
0,S01_766.pgm,0.728
0,S01_767.pgm,0.765
0,S01_768.pgm,0.205
0,S01_769.pgm,0.237
0,S01_770.pgm,0.211
0,S01_771.pgm,0.183
0,S01_772.pgm,0.245
0,S01_773.pgm,0.17
0,S01_774.pgm,0.225
0,S01_775.pgm,0.189
0,S01_776.pgm,0.236
0,S01_777.pgm,0.218
0,S01_778.pgm,0.266
0,S01_779.pgm,0.231
0,S01_780.pgm,0.226
0,S01_781.pgm,0.263
0,S01_782.pgm,0.276
0,S01_783.pgm,0.303
0,S01_784.pgm,0.254
0,S01_785.pgm,0.375
0,S01_786.pgm,0.406
0,S01_787.pgm,0.215
0,S01_788.pgm,0.187
0,S01_789.pgm,0.344
0,S01_790.pgm,0.317
0,S01_791.pgm,0.223
0,S01_792.pgm,0.246
0,S01_793.pgm,0.203
0,S01_794.pgm,0.161
